year,conference_ID,conference,state,team,seed,round,offense_efficiency,rank_offense_efficiency,points_above_offense_avg,rank_points_above_offense_avg,defense_efficiency,rank_defense_efficiency,points_above_defense_avg,rank_points_above_defense_avg,points_above_team_avg,rank_points_above_team_avg,games,wins,losses,win%,fieldgoal%,freethrow_fieldgoal,turnover%,turnover_forced%,rebound_offense%,rebound_defense%,opp_rebound_offense%,opp_rebound_defense%,2point%,3point%,block%,blocked%,assist%,opp_assist %,avg_height,experience,talent,freethrow%,opp_freethrow%,avg_points_possession,avg_points_nonpossession,%games_elite_team_loss,exp_win%_bubble_team,Column-45,Column-46,Column-47
3/20/24,MAC,17,Ohio,Akron,14,64,107.841,122,107.009,162,99.7096,49,102.072,97,4.93709,116,32,22,10,68.75,52,33.6,17.2,16.6,29.5,74.4,25.6,70.5,54.8,32,8,7.8,48.2,45.4,76.791,2.584,10.97,72.4,69.4,1.079,0.997,11.931,-4.5,,,
3/20/24,SEC,28,Alabama,Alabama,4,4,121.712,2,125.601,2,108.031,254,103.118,112,22.4828,13,32,21,11,65.625,56.3,35.2,16,15.6,34.9,70.1,29.9,65.1,57.6,36.5,10.2,12.5,51.5,45.1,78.211,2.094,27.836,78.4,74.3,1.213,1.084,36.254,3.4,,,
3/20/24,P12,24,Arizona,Arizona,2,16,117.653,10,121.125,8,96.9086,17,94.5013,12,26.6237,6,33,25,8,75.75757576,55,36.7,16.1,18.1,36.3,76.9,23.1,63.7,54.6,37.1,9,8.6,59.1,52.6,78.063,1.963,76.342,71.9,71.1,1.178,0.967,29.931,4.9,,,
3/20/24,SEC,28,Alabama,Auburn,4,64,117.364,14,120.579,10,95.7924,7,91.6765,4,28.9026,4,34,27,7,79.41176471,54.1,38.2,14.9,18.2,32.9,69.7,30.3,67.1,54.9,35.2,16,8.6,62,42.8,77.688,2.195,43.053,75.2,73.6,1.174,0.959,28.032,5.5,,,
3/20/24,B12,7,Texas,Baylor,3,32,117.262,15,122.49,6,104.166,157,100.185,64,22.305,14,32,22,10,68.75,55.6,40.5,17.7,17.1,35.1,72.9,27.1,64.9,53.4,39.4,8.5,9.8,53.9,52.9,78.257,1.617,58.436,74,73,1.171,1.042,37.902,5.1,,,
3/20/24,MWC,20,Idaho,Boise St.,10,68,111.088,60,113.974,52,100.831,73,97.5892,29,16.3847,39,30,20,10,66.66666667,51.6,36.1,16.5,16.8,32.5,76.9,23.1,67.5,51.2,34.8,6.9,11.3,46.9,47.5,78.325,2.047,18.982,74,72.2,1.106,1.011,27.69,0.9,,,
3/20/24,B12,7,Utah,BYU,6,64,116.926,16,120.486,11,99.9495,53,99.4765,48,21.0091,16,33,23,10,69.6969697,55.1,25.3,15.2,16,32.8,75.3,24.7,67.2,58,34.8,7.7,7.1,63.2,47.2,78.499,2.232,19.483,73.8,69.8,1.169,0.998,30.879,2.9,,,
3/20/24,ACC,2,South Carolina,Clemson,6,8,113.635,29,117.426,27,104.781,178,100.489,67,16.9371,34,32,21,11,65.625,53.9,30.6,14.9,13.6,27.7,74.8,25.2,72.3,54.4,35.4,11.2,6.8,53.4,44.1,78.308,2.275,64.382,79,74.4,1.137,1.048,28.597,0.9,,,
3/20/24,Pat,25,New York,Colgate,14,64,106.356,151,104.65,211,96.8562,16,102.5,104,2.15009,145,33,24,9,72.72727273,53.4,27.6,16.3,16.1,25,75.5,24.5,75,53.3,35.7,9.8,7.3,56.6,52.9,77.926,1.902,0.2,68,67,1.062,0.968,11.19,-4.1,,,
3/20/24,CAA,12,South Carolina,College of Charleston,13,64,114.421,23,113.736,58,104.197,160,106.128,176,7.60727,98,33,26,7,78.78787879,52.4,26.9,14.3,16.4,33.5,73.4,26.6,66.5,52.6,34.8,8.2,10,53.6,42.8,77.503,1.788,5.524,72.2,70.6,1.144,1.043,11.135,-1.6,,,
