roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade
std-01,male,D,some college,1,1,89,38,85,26,238,C
std-02,male,B,high school,1,0,65,100,67,96,328,A
std-03,male,C,master's degree,1,0,10,99,97,58,264,B
std-04,male,D,some college,1,1,22,51,41,84,198,D
std-05,male,C,some college,0,1,26,58,64,65,213,C
std-06,male,B,high school,1,0,40,49,69,48,206,C
std-08,male,B,associate's degree,1,1,25,80,34,17,156,D
std-23,male,B,bachelor's degree,1,1,39,71,49,78,237,C
std-28,male,B,high school,0,0,47,49,98,46,240,C
std-29,male,D,associate's degree,0,0,37,57,57,82,233,C
std-30,male,E,high school,0,1,49,54,61,78,242,C
std-31,male,E,some high school,1,1,72,89,64,81,306,B
std-32,male,A,associate's degree,0,0,18,69,82,9,178,D
std-33,male,C,associate's degree,0,0,11,67,60,31,169,D
std-34,male,A,some college,1,1,41,77,97,65,280,B
std-35,male,C,associate's degree,1,0,32,71,74,70,247,C
std-36,male,A,some college,1,0,85,76,74,57,292,B
std-37,male,C,some high school,1,0,78,82,52,71,283,B
std-39,male,D,high school,0,0,68,66,86,99,319,B
std-48,male,C,high school,0,0,38,90,53,60,241,C
std-49,male,D,some high school,0,0,69,98,98,46,311,B
std-50,male,E,high school,0,0,87,63,48,55,253,B
std-52,male,D,associate's degree,0,1,42,64,57,94,257,B
std-60,male,D,some high school,1,0,51,73,100,60,284,B
std-61,male,D,some high school,1,0,32,100,77,61,270,B
std-62,male,B,some high school,1,0,75,86,73,79,313,B
std-63,male,B,associate's degree,0,1,60,53,82,71,266,B
std-64,male,D,some college,1,0,20,76,63,71,230,C
std-65,male,B,bachelor's degree,1,1,85,82,80,72,319,B
std-66,male,D,associate's degree,1,0,81,88,100,100,369,A
std-67,male,A,associate's degree,1,0,98,40,32,51,221,C
std-68,male,C,master's degree,1,1,72,90,61,65,288,B
std-69,male,C,master's degree,1,0,83,89,56,74,302,B
std-70,male,C,some college,1,0,100,62,32,74,268,B
std-71,male,A,some high school,0,0,24,86,68,52,230,C
std-72,male,D,some high school,1,0,71,90,68,72,301,B
std-73,male,B,some college,1,0,20,73,100,56,249,C
std-74,male,E,associate's degree,1,0,23,57,65,65,210,C
std-75,male,A,associate's degree,0,1,82,30,53,75,240,C
std-76,male,C,some college,1,0,49,30,53,33,165,D
std-77,male,D,master's degree,1,0,35,62,33,46,176,D
std-78,male,D,some college,0,0,55,58,98,74,285,B
std-79,male,B,some high school,1,0,32,100,78,36,246,C
std-80,male,D,high school,0,0,19,60,25,78,182,D
std-81,male,E,bachelor's degree,1,1,47,70,100,90,307,B
std-82,male,E,high school,0,1,48,76,80,100,304,B
std-83,male,E,master's degree,1,0,29,77,44,79,229,C
std-84,male,E,bachelor's degree,1,0,34,70,41,53,198,D
std-85,male,D,associate's degree,1,0,74,69,26,60,229,C
std-86,male,E,some college,1,0,44,90,58,72,264,B
std-87,male,C,some college,1,1,28,82,87,52,249,C
std-88,male,B,master's degree,1,0,72,76,49,88,285,B
std-89,male,E,some college,1,1,43,82,50,56,231,C
std-90,male,E,some college,1,0,71,65,59,60,255,B
std-91,male,B,some college,1,1,62,58,45,33,198,D
std-92,male,C,some college,1,0,42,60,80,74,256,B
std-93,male,E,associate's degree,0,0,43,86,83,93,305,B
std-94,male,B,high school,0,1,21,60,18,66,165,D
std-95,male,B,some high school,1,0,72,86,23,62,243,C
std-96,male,E,associate's degree,0,0,93,85,30,79,287,B
std-97,male,D,some high school,1,0,66,91,95,59,311,B
std-98,male,D,some college,1,1,65,65,64,27,221,C
std-99,male,D,master's degree,0,0,47,64,54,23,188,D
std-100,male,C,some high school,0,0,0,37,62,94,193,D
std-101,male,D,associate's degree,1,1,25,78,69,36,208,C
std-102,male,B,associate's degree,1,1,78,82,62,15,237,C
std-103,male,B,high school,0,0,82,84,82,79,327,A
std-104,male,E,some college,1,1,46,98,96,100,340,A
std-105,male,C,some college,1,0,13,100,68,10,191,D
std-106,male,D,bachelor's degree,1,0,28,79,71,42,220,C
std-107,male,A,some college,1,0,35,74,58,51,218,C
std-108,male,A,associate's degree,1,1,39,64,93,77,273,B
std-109,male,C,high school,1,1,51,69,68,36,224,C
std-110,male,B,master's degree,0,0,71,89,71,83,314,B
std-111,male,D,high school,0,0,45,65,37,50,197,D
std-112,male,E,high school,1,1,57,60,56,52,225,C
std-113,male,C,bachelor's degree,1,1,44,89,100,88,321,A
std-114,male,C,some high school,1,0,20,69,78,61,228,C
std-115,male,A,associate's degree,1,0,54,95,71,80,300,B
std-116,male,C,associate's degree,0,0,28,53,84,38,203,C
std-117,male,C,some college,1,0,21,47,55,49,172,D
std-118,male,C,some high school,1,1,66,91,40,40,237,C
std-119,male,A,associate's degree,1,1,18,95,72,49,234,C
std-120,male,B,some college,1,0,70,59,29,50,208,C
std-121,male,C,high school,1,0,30,63,76,48,217,C
std-122,male,C,associate's degree,1,0,98,68,100,69,335,A
std-123,male,E,associate's degree,0,0,85,98,64,73,320,A
std-124,male,C,some high school,1,0,75,90,51,91,307,B
std-125,male,A,master's degree,0,1,97,100,69,58,324,A
std-126,male,B,some college,1,0,20,76,27,43,166,D
std-127,male,C,high school,1,1,50,100,67,100,317,B
std-128,male,D,some college,1,1,65,85,72,72,294,B
std-129,male,E,some college,0,1,23,100,92,67,282,B
std-130,male,B,master's degree,1,0,32,48,51,9,140,Fail
std-131,male,E,high school,1,0,61,59,100,54,274,B
std-132,male,B,some high school,0,0,73,78,96,81,328,A
std-133,male,B,bachelor's degree,1,0,88,85,79,100,352,A
